marka,seri,model,kasa_tipi
Audi,A3,A3 Hatchback 1.6 Ambition,Hatchback/3
Renault,Symbol,1.2 Joy,Sedan
Mitsubishi,Space Star,1.2 Intense,Hatchback/5
Renault,Megane,1.5 dCi Icon,Sedan
Ford,Focus,1.5 EcoBlue Titanium Stil,Sedan
Renault,Fluence,1.5 dCi Icon,Sedan
Seat,Leon,1.0 eTSI Style Plus,Hatchback/5
Toyota,Yaris,1.33 Fun Special,Hatchback/5
Toyota,Corolla Cross,1.8 Hybrid Passion X-Pack,SUV
Toyota,Corolla Cross,1.8 Hybrid Flame X-Pack,SUV
Honda,Civic,1.5 i-VTEC Executive Plus,Sedan
Chery,Omoda 5,1.6 TGDI Luxury,SUV
Volkswagen,Passat,2.0 TDi BlueMotion Highline,Sedan
Toyota,Yaris,1.5 Hybrid Cool,Hatchback/5
Volkswagen,T-Cross,1.0 TSI Life,SUV
Volvo,XC40,1.5 T3 Inscription,SUV
Cupra,Formentor,1.5 TSI,SUV
BMW,3 Serisi,320d Edition Comfort,Sedan
Hyundai,Kona,1.6 CRDI Elite Smart,SUV
Opel,Mokka,1.2 T GS,SUV
BMW,5 Serisi,525d xDrive Exclusive,Sedan
Mercedes - Benz,C,C 200 D AMG,Sedan
BMW,2 Serisi,218i Gran Coupe M Sport,Coupe
Nissan,Qashqai,1.2 DIG-T Tekna,SUV
Volkswagen,T-Roc,1.5 TSI Style,SUV
BMW,5 Serisi,525d xDrive Executive M Sport,Sedan
Volkswagen,Tiguan,1.6 TDi Trendline,SUV
BMW,3 Serisi,316i Premium,Sedan
Seat,Ibiza,1.2 TSI Style,Hatchback/5
Opel,Astra,1.3 CDTI Cosmo,Hatchback/5
Nissan,Juke,1.5 dCi Sport Pack,SUV
Toyota,Corolla,1.4 D-4D Comfort Extra,Sedan
Audi,A6,A6 Sedan 45 TFSI Quattro Advanced,Sedan
Skoda,Kamiq,1.0 TSI Premium,SUV
BMW,5 Serisi,525d xDrive Executive Luxury,Sedan
Suzuki,S-Cross,1.4 Hybrid GLX Premium,Crossover
Hyundai,i20,1.4 MPI Style Plus,Hatchback/5
Toyota,Corolla Cross,1.8 Hybrid Passion,SUV
BMW,3 Serisi,318i Premium Line,Sedan
Dacia,Duster,1.5 BlueDCI Comfort,SUV
Mini,Cooper Countryman,1.6 S,SUV
Fiat,Marea,1.6 SX,Sedan
Renault,Megane,1.5 Blue DCI Icon,Sedan
Nissan,Skystar,4x2,Hard top
Renault,Clio,1.5 dCi Expression,Hatchback/5
Volkswagen,Golf,1.0 TSi Impression,Hatchback/5
Opel,Astra,1.3 CDTI Sport,Hatchback/5
Hyundai,i20 Active,1.4 MPi Elite,Hatchback/5
Hyundai,Accent Era,1.6 Style,Sedan
Audi,Q3,1.4 TFSi,SUV
Volkswagen,Passat,1.6 TDi BlueMotion Business,Station wagon
BMW,5 Serisi,525d xDrive M Sport,Sedan
BMW,3 Serisi,320d Techno Plus,Sedan
Hyundai,Accent Era,1.4 Start,Sedan
Hyundai,Accent Era,1.4 Select,Sedan
BMW,5 Serisi,528i Standart,Sedan
Hyundai,Getz,1.4 DOHC AB AC,Hatchback/5
Hyundai,i20 Troy,1.4 CVVT Mode,Hatchback/5
Hyundai,Accent Blue,1.4 D-CVVT Mode Plus,Sedan
Fiat,Punto,1.3 Multijet Dynamic,Hatchback/5
Audi,A3,A3 Sportback 1.6 TDI Ambiente,Hatchback/5
Audi,A6,A6 Sedan 45 TFSI Quattro S Line,Sedan
BMW,3 Serisi,320d M Sport,Coupe
Ford,Fiesta,1.4 TDCi Titanium,Hatchback/5
Toyota,Hilux,2.4 D-4D 4x4 Invincible,SUV
Hyundai,Accent,1.3 LS,Hatchback/3
Opel,Crossland X,1.5 CDTI 120.Yıl,SUV
Volkswagen,Jetta,1.4 TSi BlueMotion Highline,Sedan
BMW,5 Serisi,530i xDrive Luxury Line,Sedan
BMW,5 Serisi,530i xDrive Executive M,Sedan
Toyota,Corolla,1.6 Premium,Sedan
Toyota,Auris,1.4 D-4D Comfort Extra,Hatchback/5
Renault,Clio,0.9 TCe Icon,Hatchback/5
Toyota,Auris,1.6 Comfort,Hatchback/5
BMW,X1,16d sDrive X Line,SUV
Volkswagen,Passat,1.4 TSi Trendline,Sedan
BMW,7 Serisi,730i M Excellence,Sedan
Kia,Picanto,1.0 MPI,Hatchback/5
BMW,7 Serisi,725d Long Pure Excellence,Sedan
Kia,Stonic,1.4 MPI Cool,SUV
Volvo,XC90,2.0 B5 Inscription,SUV
BMW,7 Serisi,740i Long,Sedan
TOGG,T10X,V2,SUV
Mini,Cooper,1.6 Türkiye Paketi,Hatchback/3
Kia,Sportage,1.6 GSL Plus,SUV
Skoda,Kamiq,1.0 TSI Elite,SUV
Opel,Mokka,1.6 CDTI Enjoy,SUV
Kia,Stonic,1.4 MPI Business,SUV
Fiat,Tempra,1.6 SX A,Sedan
Opel,Corsa,1.2 T Edition,Hatchback/5
Opel,Astra,1.3 CDTI Enjoy 111.Yıl,Sedan
Skoda,Fabia,1.0 GreenTec Style,Hatchback/5
Renault,R 19,1.6 Europa RT,Hatchback/5
BMW,i Serisi,i5 eDrive 40 M Sport,Sedan
BMW,i Serisi,i4 eDrive 40 Edition M Sport,Coupe
BMW,1 Serisi,120i M Sport,Hatchback/5
Skoda,SuperB,1.6 TDI Elegance,Sedan
Toyota,Auris,1.6 Comfort Extra,Hatchback/5
Porsche,Panamera,4,Hatchback/5
BMW,i Serisi,i5 eDrive30 M Sport,Sedan
Tofaş,Kartal,SLX,Station wagon
Kia,Rio,1.25 CVVT Comfort,Hatchback/5
Opel,Astra,1.3 CDTI Edition,Hatchback/5
Ford,Focus,1.6 Ti-VCT Style,Sedan
Renault,Talisman,1.6 dCi Touch,Sedan
Fiat,Tempra,1.6 SX,Sedan
Opel,Astra,1.6 CDTI Enjoy,Hatchback/5
Fiat,Albea,Sole 1.3 Multijet Dynamic,Sedan
Chevrolet,Aveo,1.2 LS,Sedan
Opel,Insignia,2.0 CDTI Cosmo Sports Tourer,Station wagon
Audi,A3,A3 Sportback 1.4 TFSI Ambition,Hatchback/3
Opel,Corsa,1.3 CDTI Enjoy 111,Hatchback/5
Renault,Megane,1.5 dCi Joy,Hatchback/5
Nissan,Micra,1.2 Match,Hatchback/5
Toyota,Corolla,1.4 D-4D Premium,Sedan
BMW,i Serisi,i4 eDrive 40 M Sport,Hatchback/5
Audi,A3,A3 Sedan 1.6 TDI Design Line,Sedan
Opel,Insignia,2.0 CDTI Cosmo,Sedan
BMW,X3,20i sDrive M Sport,SUV
Toyota,Avensis,1.6 Elegant,Sedan
Volvo,XC90,2.0 B5 Plus Bright,SUV
BMW,M Serisi,M5,Sedan
Opel,Crossland,1.2 T Essential,SUV
Audi,A3,A3 Sedan 1.6 TDI Ambition,Sedan
Hyundai,Accent Blue,1.6 CRDI Biz,Sedan
Audi,A3,A3 Sportback 35 TFSI Advanced,Hatchback/5
Citroen,C5 Aircross,1.2 Hybrid Max,SUV
Hyundai,i10,1.2 D-CVVT Elite,Hatchback/5
Seat,Leon,1.6 TDI Xcellence,Hatchback/5
Volkswagen,Passat,1.6 TDi BlueMotion Trendline,Sedan
Volkswagen,Touareg,3.0 TDI Premium,SUV
BMW,1 Serisi,116i Sport Line,Hatchback/5
Opel,Insignia,1.5 d Edition,Hatchback/5
Renault,Megane,1.5 dCi Authentique,Sedan
Fiat,Punto,Grande 1.4 Fire Active,Hatchback/3
Opel,Mokka,1.4 Enjoy,SUV
BMW,5 Serisi,530i xDrive M Sport,Sedan
Tofaş,Doğan,SLX,Sedan
BYD,Seal,Design,Sedan
BYD,Han,Bilinmiyor,Sedan
Toyota,Verso,1.6 Comfort Extra,MPV
BYD,Seal,Excellence,Sedan
Mini,Cooper,1.5 D Chili,Hatchback/5
Opel,Insignia,1.6 CDTI Edition Elegance,Sedan
Dacia,Sandero,1.0 T Comfort,Hatchback/5
Ford,Focus,1.5 EcoBlue Trend X,Sedan
Ford,Mondeo,2.0 TDCi Titanium,Sedan
Honda,Civic,1.6i VTEC Eco Premium,Sedan
MG,MG7,1.5 Excellence,Hatchback/5
Audi,A5,A5 Sedan,Sedan
Volkswagen,Arteon,2.0 TDI Elegance,Hatchback/5
Audi,A3,A3 Sportback 1.6 Attraction,Hatchback/5
Audi,A4,A4 Sedan 2.0 TDI Quattro,Sedan
Volkswagen,Golf,1.0 eTSI Style,Hatchback/5
Renault,Clio,0.9 TCe Sport Tourer Joy,Station wagon
Dacia,Lodgy,1.5 BlueDCI Laureate,MPV
Skoda,Octavia,1.6 Elegance,Hatchback/5
Opel,Grandland,1.2 Turbo GS,SUV
Tofaş,Kartal,SL,Station wagon
Skoda,Fabia,1.4 TDI Classic,Station wagon
Opel,Astra,1.4 T Enjoy Plus,Hatchback/5
Renault,Megane,1.5 dCi Authentique,Hatchback/5
BMW,3 Serisi,320i ED Luxury Line Plus,Sedan
Nissan,Micra,1.2 Tekna,Hatchback/5
Ford,Mondeo,1.6 TDCi Trend,Sedan
Hyundai,Elantra,1.6 D-CVVT Prime Plus,Sedan
Toyota,Auris,1.6 Active Skypack,Hatchback/5
Nissan,Micra,1.3 GX,Hatchback/5
Opel,Astra,1.0 T Enjoy,Hatchback/5
Volkswagen,Golf,1.4 TSi Highline,Hatchback/5
Volkswagen,Tayron,1.5 e-TSI Elegance,SUV
Volkswagen,Golf,1.5 eTSI Style,Hatchback/5
Opel,Grandland-e,GS,SUV
Chevrolet,Aveo,1.4 SX,Sedan
Chevrolet,Aveo,1.4 LTZ,Sedan
Toyota,Auris,1.6 Active,Hatchback/5
Toyota,Yaris,1.5 Hybrid Spirit,Hatchback/5
Opel,Astra,1.6 CDTI Excellence,Station wagon
Renault,Megane,1.5 dCi Exception,Sedan
Ford,Fiesta,1.25 Flair,Hatchback/5
BMW,1 Serisi,116i Joy Edition,Hatchback/5
BYD,Dolphin,Bilinmiyor,Hatchback/5
Renault,Clio,1.2 Grandtour Extreme,Station wagon
Volkswagen,Polo,1.6 TDi Comfortline,Hatchback/5
Fiat,Palio,1.2 Dynamic,Hatchback/5
Hyundai,Tucson,1.6 GDi Style,SUV
Volkswagen,Golf,1.6 TDi BlueMotion Midline Plus,Hatchback/5
Ford,Kuga,1.5 EcoBoost Selective,SUV
Seat,Ibiza,1.0 Referance,Hatchback/5
Renault,Megane,1.5 dCi Privilege,Station wagon
Fiat,Egea Cross,1.4 Fire Urban,SUV
Nissan,Qashqai,1.3 DIG-T Sky Pack Plus,SUV
Renault,R 19,1.4 Europa RL,Sedan
Audi,A3,A3 Sedan 1.6 TDI Sport Line,Sedan
Kia,Picanto,1.0 MPI Feel,Hatchback/5
BMW,3 Serisi,318i Edition Sport Line,Sedan
Cupra,Leon,1.5 eTSI Standart,Hatchback/5
Renault,Megane,1.5 dCi Touch Plus,Hatchback/5
Audi,A4,A4 Sedan 1.4 TFSI Dynamic,Station wagon
Chevrolet,Aveo,1.4 LT,Hatchback/5
Renault,Megane,1.5 dCi Dynamique,Sedan
BMW,Z Serisi,Z4 2.5,-
Tofaş,Serçe,Bilinmiyor,Sedan
Hyundai,Tucson,1.6 T-GDi Elite Plus,SUV
Ford,Focus,1.5 TDCi Titanium X,Sedan
Volkswagen,Passat,1.5 TSi Business,Sedan
Hyundai,i20,1.2 MPI Elite,Hatchback/5
Kia,Sportage,1.6 GDI Comfort,SUV
Hyundai,i10,1.0 D-CVVT Style,Hatchback/5
Renault,Fluence,1.5 dCi Extreme,Sedan
Fiat,Linea,1.4 Fire Mood,Sedan
Audi,A3,A3 Sportback 1.6 TDI Sport Line,Hatchback/5
Chevrolet,Aveo,1.4 LS,Sedan
Nissan,Juke,1.0 DIG-T Tekna,SUV
Renault,Clio,1.0 TCe Evolution,Hatchback/3
Hyundai,Accent Blue,1.4 CVVT Mode,Sedan
Skoda,Rapid,1.6 TDI Elegance,Sedan
Fiat,Egea,1.6 Multijet Lounge,Sedan
Nissan,Qashqai,1.6 dCi Platinum Premium Pack,SUV
Volkswagen,Golf,1.6 TDi Comfortline,Hatchback/5
Fiat,Albea,1.2 EL,Sedan
Fiat,Bravo,1.6 SX,Hatchback/3
Skywell,ET5,Legend,SUV
BMW,3 Serisi,320d Standart,Sedan
Suzuki,Grand Vitara,2.0 JLX-AL,SUV
BMW,3 Serisi,316i M Sport,Sedan
Fiat,500 Ailesi,500L 1.3 Mjet Cross Plus,MPV
Fiat,Egea Cross,1.6 Multijet Urban,SUV
Citroen,C-Elysée,1.6 BlueHDI Live,Sedan
Audi,A3,A3 Sedan 35 TFSI S-Line,Sedan
Dacia,Sandero,0.9 TCe Stepway Easy-R,Hatchback/5
Suzuki,S-Cross,1.4 Hybrid GL Elegance,SUV
Toyota,Yaris,1.33 Terra Sporty,Hatchback/5
Volkswagen,Passat,1.5 TSi Elegance,Sedan
Fiat,Linea,1.3 Multijet Actual,Sedan
Mercedes - Benz,CLA,180 D AMG,Coupe
Chevrolet,Cruze,1.6 Sport Plus,Hatchback/5
BMW,3 Serisi,316ti Compact,Hatchback/3
Audi,A3,A3 Sportback 1.6 TDI Attraction,Hatchback/5
Fiat,Punto,1.4 Popstar S&S,Hatchback/5
BMW,3 Serisi,316i Comfort,Sedan
Audi,A3,A3 Sedan 35 TFSI Dynamic,Hatchback/5
Seat,Ibiza,1.0 Style,Hatchback/5
Peugeot,301,1.6 HDi Active,Sedan
Opel,Vectra,2.0 CD,Sedan
Fiat,Tipo,1.6 SX,Hatchback/5
Citroen,C5 Aircross,1.5 BlueHDI Shine,SUV
Volkswagen,T-Roc,1.5 TSI Highline,SUV
Fiat,Palio,1.3 Multijet Active,Hatchback/5
Seat,Ibiza,1.4 Style,Hatchback/5
Nissan,X-Trail,1.5 e-4ORCE Sky Pack,SUV
Seat,Ibiza,1.6 TDI Style,Hatchback/5
Fiat,Albea,Sole 1.3 Multijet Premio Plus,Sedan
Ssangyong,Musso Grand,2.2 D Platinum Plus,Hard top
Fiat,Palio,1.3 Multijet Dynamic,Hatchback/5
Volkswagen,Tiguan,1.5 TSI R-Line,SUV
Honda,HR-V,1.5 e-HEV Elegance,SUV
Seat,Ateca,1.5 EcoTSI Xperience,SUV
Renault,Clio,1.2 Joy,Station wagon
Opel,Insignia,1.5 d Elegance,Hatchback/5
Citroen,C4,1.2 PureTech Max,Sedan
Hyundai,Elantra,1.6 MPI Style,Sedan
Kia,Sportage,1.6 GDI Cool,SUV
Audi,A5,A5 Sportback 40 TDI Quattro S Line,Hatchback/5
Audi,A5,A5 Sportback 2.0 TDI Quattro,Hatchback/5
Renault,Clio,1.2 TCE Icon,Hatchback/5
Renault,Symbol,1.0 SCe Touch,Sedan
Audi,A3,A3 Sedan 35 TFSI Design,Sedan
BMW,3 Serisi,320i 50th Year M Edition,Sedan
Chevrolet,Cruze,1.6 LS Plus,Station wagon
Renault,Kadjar,1.5 dCi Icon,SUV
Nissan,X-Trail,2.0 Elegance,SUV
Skoda,Kodiaq,1.5 TSI GreenTec Elite,SUV
Volkswagen,Polo,1.4 TDi Bluemotion,Hatchback/5
Honda,Jazz,1.5 Hybrid Crosstar Executive,Hatchback/5
Audi,A5,A5 Sportback 45 TFSI Quattro S Line,Hatchback/5
Volkswagen,Jetta,1.6 TDi Trendline,Sedan
Mercedes - Benz,A,A 200 AMG,Hatchback/5
Mercedes - Benz,CLA,200 AMG,Coupe
Mini,Cooper Countryman,1.5 D One Classic,SUV
Volkswagen,Passat,1.8 T Comfortline,Sedan
Volkswagen,Passat,1.6 TDi BlueMotion R Line,Sedan
Audi,A3,A3 Sedan 1.6 TDI Ambiente,Sedan
Nissan,Qashqai,1.6 dCi Sky Pack,SUV
Chevrolet,Cruze,1.6 WTCC Edition,Sedan
Audi,Q5,2.0 TDI Quattro,SUV
Fiat,Egea,1.5 T4 Lounge,Sedan
Ford,Fiesta,1.4 Titanium,Hatchback/5
Chevrolet,Cruze,1.6 LS,Hatchback/5
Chevrolet,Cruze,1.6 Sport Plus,Sedan
Chevrolet,Cruze,1.6,Sedan
Audi,A3,A3 Sportback 35 TFSI S-Line,Hatchback/5
Porsche,Macan,2.0,SUV
Ford,Fiesta,1.0 GTDi Titanium,Hatchback/5
Volvo,XC40,2.0 D3 Momentum,SUV
Kia,Sportage,1.6 GDI Concept Plus,SUV
Dacia,Duster,1.0 Tce Comfort,SUV
Fiat,Panda,1.0 Hybrid City,Hatchback/5
Toyota,Corolla,1.4 D-4D Class,Sedan
Ford,Focus,1.5 Ti-VCT Trend X,Sedan
BMW,4 Serisi,418i Gran Coupe Sport Line,Coupe
Volkswagen,Golf,1.2 TSi Midline Plus,Hatchback/5
Volkswagen,Passat Variant,1.5 TSI Business,Station wagon
Audi,A3,A3 Sedan 1.6 TDI S Line,Sedan
Fiat,Tipo,1.6 S,Hatchback/5
Volvo,V40,1.5 T3 Momentum,Hatchback/5
Chevrolet,Corvette,C5,Cabrio
Volkswagen,Passat,2.0 TDi Comfortline,Sedan
Mercedes - Benz,E,200 d Exclusive,Sedan
Volkswagen,Polo,1.2 TDi Trendline,Hatchback/5
Dacia,Jogger,1.0 TCe Expression,MPV
Ford,C-Max,1.6 Trend,MPV
Skoda,Fabia,1.5 TSI Monte Carlo,Hatchback/5
Chevrolet,Cruze,1.6 LS,Station wagon
Toyota,Verso,1.6 Comfort Extra,Hatchback/5
Peugeot,208,1.4 HDi Active,Hatchback/5
Mazda,3,1.6 Dynamic,Sedan
Fiat,Palio,1.4 Fire Dynamic Sole,Hatchback/5
Volkswagen,Taigo,1.0 TSI Life,SUV
Ford,Focus,1.6 Ambiente,Hatchback/5
Fiat,Uno,70 SX,Hatchback/5
BMW,7 Serisi,735i Long,Sedan
Fiat,Palio,1.3 Multijet Active Sole,Hatchback/5
Audi,A3,A3 Sportback 1.0 TFSI Dynamic,Hatchback/5
Peugeot,208,1.2 PureTech Active Prime,Hatchback/5
Volkswagen,Tiguan,1.5 TSI Life,SUV
Ford,Focus,1.6 Collection,Hatchback/5
Audi,A3,A3 Sportback 1.6 TDI Design Line,Hatchback/5
Ford,Mondeo,2.0 Ghia,Hatchback/5
Hyundai,Elantra,1.6 MPI Elite,Sedan
Mercedes - Benz,A,A 180 CDI BlueEfficiency Urban,Hatchback/5
Mercedes - Benz,B,B 180 BlueEFFICIENCY Elite,MPV
Ford,Focus,1.5 Ti-VCT Titanium,Sedan
Ford,Fiesta,1.5 TDCi Titanium,Hatchback/5
Mercedes - Benz,A,A 180 d AMG,Hatchback/5
Audi,A3,A3 Hatchback 1.4 TFSI Attraction,Hatchback/3
Fiat,Egea,1.4 Fire Street,Hatchback/5
Citroen,C3,1.4 HDi X,Hatchback/5
BMW,1 Serisi,116i Advantage,Hatchback/5
Volvo,S80,2.4 D5 VIP,Sedan
Chevrolet,Camaro,SS,Coupe
Volvo,S90,2.0 D5 Inscription,Sedan
Audi,A4,A4 Avant 2.0 TDI,Station wagon
Audi,A3,A3 Sportback 1.6 TDI Attraction,Hatchback/3
Toyota,Auris,1.6 Advance Skypack,Station wagon
BMW,3 Serisi,316i Luxury Line,Sedan
Audi,A5,A5 Coupe 40 TDI Quattro S Line,Coupe
Citroen,C3,1.4 HDi Confort,Hatchback/5
Peugeot,3008,1.6 BlueHDi Active Sport Pack,SUV
Citroen,e-C3,Max,Hatchback/5
Audi,A3,A3 Sportback 1.2 TFSI Attraction,Hatchback/3
Peugeot,206,1.4 X-Line,Hatchback/5
Mercedes - Benz,B,B 150 Boyut,MPV
Opel,Grandland,1.2 Turbo Hybrid Edition,SUV
BMW,3 Serisi,320d Premium Line,Sedan
Fiat,Punto,Grande 1.4 Fire Dynamic,Hatchback/3
Citroen,C3,1.2 PureTech SX Edition,Hatchback/5
BYD,Seal U DM-i,1.5 Phev,SUV
Peugeot,308,1.2 PureTech GT,Hatchback/5
Honda,CR-V,2.0i Executive,SUV
Citroen,C3,1.4 HDi SX,Hatchback/5
Chevrolet,Lacetti,1.6 WTCC,Sedan
Chevrolet,Lacetti,1.6 SX,Sedan
Nissan,Qashqai,1.5 dCi Tekna,SUV
Audi,A3,A3 Sedan 1.0 TFSI Dynamic,Sedan
Renault,Taliant,1.0 Sce Joy,Sedan
Toyota,C-HR,1.8 Hybrid Passion,SUV
Renault,Megane,1.3 TCe Touch,Hatchback/5
Fiat,500 X,1.6 E-Torq Pop,SUV
Mercedes - Benz,E,200 Kompressor Avantgarde,Sedan
Citroen,AMİ,My Ami Pop,Hatchback/3
BMW,i Serisi,i4 eDrive 40 Edition M Sport,Sedan
Mercedes - Benz,E,250 CGI Elite,Sedan
Audi,A3,A3 Sportback 1.6 Ambition,Hatchback/3
Renault,Megane E-Tech,Iconic,SUV
Tofaş,Doğan,S,Sedan
Audi,A3,A3 Sedan 35 TFSI Sport,Sedan
Opel,Mokka,1.2 T Elegance,SUV
Kia,Rio,1.5 CRDi Trend,Hatchback/5
Toyota,Corolla,1.6 XE,Sedan
Volkswagen,Tiguan,1.4 TSI Sport&Style,SUV
Ssangyong,Torres,1.5 GDI,SUV
Toyota,Corolla,1.4 D-4D Touch,Sedan
Hyundai,ix35,1.6 GDI Style Plus,SUV
Audi,A3,A3 Sportback 1.4 TFSI Ambiente,Hatchback/5
Opel,Corsa,1.3 CDTI Active,Hatchback/5
Hyundai,Tucson,1.6 CRDi Elite,SUV
Kia,Cerato,1.6 CRDi Concept Plus,Sedan
BMW,6 Serisi,630i Gran Turismo M Sport,Hatchback/5
Chrysler,300 C,3.0 CRD,Sedan
Opel,Corsa,1.4 Twinport Enjoy,Hatchback/5
Ford,Focus,1.6 Comfort,Sedan
Dacia,Duster,1.3 Tce Extreme,SUV
Hyundai,Kona,1.0 T-GDI Style,SUV
Citroen,C-Elysée,1.2 PureTech Live,Sedan
Citroen,C1,1.0 SX Sensodrive,Hatchback/5
Renault,Talisman,1.6 dCi Icon,Sedan
Audi,A3,A3 Sportback 1.4 TFSI Ambition,Hatchback/5
Citroen,C4 Picasso,1.6 HDi SX PK,MPV
Audi,A3,A3 Sportback 1.6 Sportback Attraction,Hatchback/5
Audi,A3,A3 Sedan 35 TFSI Dynamic,Sedan
Renault,Clio,1.2 Joy,Hatchback/5
BMW,5 Serisi,530i xDrive Executive Luxury,Sedan
Mercedes - Benz,C,C 200 AMG,Sedan
Seat,Ibiza,1.5 EcoTSI FR,Hatchback/5
Ford,Ranger,2.2 TDCi XLT,SUV
Opel,Astra,1.6 Edition Plus,Sedan
BMW,M Serisi,M5 Competition,Sedan
Opel,Astra,1.6 Edition,Sedan
Opel,Corsa-e,GS,Hatchback/5
Audi,A7,2.0 TFSI,Coupe
Renault,Megane,1.6 RTE,Hatchback/5
Renault,Clio,1.5 dCi Expression,Sedan
Renault,Megane,1.5 dCi Authentique,Hatchback/3
Jeep,Grand Cherokee,5.2 Limited,SUV
Citroen,C4,1.4 SX,Hatchback/5
Seat,Toledo,1.4 TDI Style,Hatchback/5
Citroen,C4,1.6 SX,Hatchback/5
Opel,Corsa,1.3 CDTI Enjoy,Hatchback/3
Fiat,Linea,1.4 Fire Pop,Sedan
BMW,3 Serisi,320d Luxury,Sedan
Toyota,Corolla,1.4 D-4D Elegant,Sedan
Fiat,Tipo,1.4 SX ie,Hatchback/5
Dacia,Logan,1.4 Ambiance,Sedan
Opel,Astra,1.3 CDTI Essentia,Sedan
Citroen,C4,1.6 BlueHDi Confort,Hatchback/5
Audi,A8,2.0 TFSI Quattro,Sedan
Fiat,Albea,1.3 Multijet SL,Sedan
BMW,3 Serisi,320i,Sedan
Dacia,Jogger,1.0 Eco-G Essential,MPV
Hyundai,Getz,1.4 DOHC HY KLM,Hatchback/5
Citroen,e-C3,Plus,Hatchback/5
Skoda,Scala,1.5 TSI Premium,Hatchback/5
Dacia,Sandero,1.2 Ambiance,Hatchback/5
Citroen,C3,1.2 PureTech Feel S Edition,Hatchback/5
Chevrolet,Kalos,1.4 SX,Sedan
Audi,A3,A3 Sportback 1.4 TFSI Attraction,Hatchback/3
Ford,Focus,1.6 Ghia,Sedan
Ford,Focus,1.6 TDCi Titanium,Sedan
Dacia,Logan,1.4 Black Line,Sedan
BMW,1 Serisi,116d ED Sport Line,Hatchback/5
Volkswagen,New Beetle,1.4 TSi Design,Hatchback/3
Ford,Fiesta,1.4 Comfort,Hatchback/5
Dacia,Sandero,1.4 Ambiance,Hatchback/5
BMW,2 Serisi,230e xDrive Luxury Line,MPV
Fiat,Albea,Sole 1.3 Multijet Active Plus,Sedan
Volkswagen,Jetta,1.4 TSi Highline,Sedan
Tofaş,Kartal,Kartal 5 Vites,Station wagon
Dacia,Lodgy,1.5 dCi Laureate,MPV
Audi,A3,A3 Sportback 30 TDI Design,Hatchback/5
Audi,A4,A4 Sedan 40 TDI Quattro S Line,Sedan
Mercedes - Benz,EQB,250+ AMG,SUV
Ford,Ranger,2.0 EcoBlue 4x4 Wildtrak,SUV
Renault,R 9,1.4 Broadway GTE,Sedan
Hyundai,i20,1.2 MPI Elite Smart,Hatchback/5
Mercedes - Benz,GLB,200 AMG,Crossover
Tofaş,Doğan,SLX ie,Sedan
Opel,Astra,1.6 Edition,Hatchback/5
Skoda,SuperB,1.4 TSI Elegance,Sedan
Renault,Clio,0.9 TCe Touch,Hatchback/5
Skoda,SuperB,1.6 TDI Active,Sedan
Dacia,Duster,1.6 Sce Prestige,SUV
Opel,Astra,1.4 Enjoy,Hatchback/5
Skoda,SuperB,1.6 TDI Style,Sedan
Skoda,Octavia,1.5 Mhev Elite,Sedan
Skoda,Fabia,1.2 TSI Style,Hatchback/5
Chevrolet,Cruze,1.4 T LTZ,Hatchback/5
Audi,A3,A3 Sportback 1.6 Attraction,Hatchback/3
Chery,Tiggo 7 Pro,1.6 TGDI Comfort,SUV
BMW,1 Serisi,116d First Edition M Sport,Hatchback/5
BMW,1 Serisi,116d M Sport,Hatchback/5
Toyota,Yaris,1.33 Cool,Hatchback/5
Ford,Focus,1.5 EcoBlue Titanium X,Hatchback/5
BMW,2 Serisi,218i Gran Coupe First Edition Sport Line,Coupe
Nissan,Juke,1.6 Tekna,SUV
Nissan,Qashqai,1.5 dCi Black Edition,SUV
Audi,A4,A4 Sedan 1.8 T,Sedan
Audi,A4,A4 Sedan 1.9 TDI,Sedan
Dacia,Sandero,0.9 TCe Turbo Stepway,Hatchback/5
Dacia,Sandero,1.0 T Prestige,Hatchback/5
Opel,Astra,1.2 T GS,Hatchback/5
BMW,3 Serisi,320i ED Techno Plus,Sedan
Opel,Mokka-e,Ultimate,SUV
Peugeot,5008,1.5 BlueHDI Allure Selection,SUV
Opel,Mokka,1.2 T Edition,SUV
Peugeot,2008,1.2 PureTech GT,SUV
Citroen,C4,1.2 PureTech Feel Bold,SUV
Volkswagen,VW CC,1.4 TSi Exclusive,Coupe
BMW,4 Serisi,420i Gran Coupe Edition M Sport,Coupe
Dacia,Sandero Stepway,1.0 Eco-G Essential,SUV
BMW,1 Serisi,118i First Edition M Sport,Hatchback/5
Peugeot,3008,1.2 Hybrid Allure,SUV
Skoda,Fabia,1.2 TSI Ambition,Hatchback/5
Peugeot,206,1.4 Color Line,Hatchback/5
Fiat,Linea,1.4 Fire Easy,Sedan
Honda,Civic,1.6 Dream,Sedan
Fiat,Punto,Grande 1.3 Multijet 1.3 Multijet,Hatchback/3
BMW,2 Serisi,216d Gran Coupe Sport Line,Coupe
Opel,Corsa,1.4 Twinport Enjoy 111,Hatchback/5
Opel,Grandland,1.2 T GS,SUV
Citroen,C4,1.2 PureTech Shine Bold,Hatchback/5
Volkswagen,Jetta,1.6 FSi Comfortline,Sedan
Peugeot,RCZ,1.6 THP Yearling,Coupe
Fiat,Uno,70 SXie,Hatchback/5
BMW,2 Serisi,216d Gran Coupe First Edition M Sport,Coupe
Opel,Astra,1.4 T Sport,Sedan
